Instance,iteration,violations,cost,Institution,Rank
m14.json,1,0,13427,V777V,16.0
m14.json,4,0,13432,V777V,17.0
m14.json,1,0,13439,Ortec,22.5
m14.json,2,0,13439,Ortec,22.5
m14.json,3,0,13439,Ortec,22.5
m14.json,4,0,13439,Ortec,22.5
m14.json,5,0,13439,Ortec,22.5
m14.json,6,0,13439,Ortec,22.5
m14.json,7,0,13439,Ortec,22.5
m14.json,8,0,13439,Ortec,22.5
m14.json,9,0,13439,Ortec,22.5
m14.json,10,0,13439,Ortec,22.5
m14.json,2,0,13472,SDU,28.0
m14.json,7,0,13482,V777V,29.0
m14.json,3,0,13493,SDU,30.0
m14.json,4,0,13499,SDU,31.5
m14.json,5,0,13499,V777V,31.5
m14.json,10,0,13550,V777V,33.0
m14.json,6,0,13560,SDU,34.0
m14.json,9,0,13593,SDU,35.0
m14.json,7,0,13605,SDU,36.0
